text,intent,language
model metrics,model_summary,en
मॉडल accuracy,model_summary,hi
मॉडल प्रदर्शन,model_summary,hi
मॉडल mae,model_summary,hi
ट्रेनिंग accuracy,model_summary,hi
मॉडल मीट्रिक्स,model_summary,hi
ମଡେଲ୍ accuracy,model_summary,or
ମଡେଲ୍ ପରିଣାମ,model_summary,or
ମଡେଲ୍ mae,model_summary,or
ଟ୍ରେନିଂ accuracy,model_summary,or
ମଡେଲ୍ ମିଟ୍ରିକ୍ସ,model_summary,or
app info,app_info,en
about the app,app_info,en
application details,app_info,en
what is this app,app_info,en
app overview,app_info,en
ऐप जानकारी,app_info,hi
ऐप के बारे में,app_info,hi
ऐप विवरण,app_info,hi
यह ऐप क्या है,app_info,hi
ऐप ओवरव्यू,app_info,hi
ଆପ୍ ସୂଚନା,app_info,or
ଆପ୍ ବିବରଣୀ,app_info,or
ଆପ୍ କଣ,app_info,or
ଆପ୍ ଓଭରଭ୍ୟୁ,app_info,or
ଏହି ଆପ୍ କଣ,app_info,or
show everything,all_details,en
all details,all_details,en
show all data,all_details,en
give me everything,all_details,en
all information,all_details,en
सब कुछ दिखाओ,all_details,hi
पूरी जानकारी,all_details,hi
सब विवरण,all_details,hi
सब जानकारी,all_details,hi
सब कुछ,all_details,hi
ସବୁ କିଛି,all_details,or
ସମସ୍ତ ତଥ୍ୟ,all_details,or
ସବୁ ବିବରଣୀ,all_details,or
ସବୁ ସୂଚନା,all_details,or
ସବୁ ଦେଖାଅ,all_details,or
help,help,en
what can you do,help,en
how to use,help,en
options,help,en
show help,help,en
मदद,help,hi
क्या कर सकते हो,help,hi
कैसे उपयोग करें,help,hi
मदद दिखाओ,help,hi
विकल्प,help,hi
ସହାୟତା,help,or
କଣ କରିପାରିବେ,help,or
କିପରି ବ୍ୟବହାର,help,or
ସହାୟତା ଦେଖାଅ,help,or
ଅପ୍ସନ୍,help,or
